10|!|73662
12|!|62646
16|!|59948
8|!|59084
14|!|56276
17|!|54917
24|!|51782
11|!|50473
15|!|48767
18|!|48593
20|!|47842
9|!|47792
13|!|46693
19|!|43772
7|!|43144
21|!|41506
22|!|39997
23|!|35329
30|!|35030
6|!|34821
26|!|32868
25|!|32356
28|!|30579
27|!|30407
5|!|30334
70|!|28635
34|!|27430
29|!|27216
32|!|25886
31|!|25419
33|!|21656
43|!|21644
36|!|20644
38|!|20331
37|!|19143
35|!|18803
44|!|18777
45|!|18269
39|!|18013
42|!|17341
68|!|17246
40|!|17185
66|!|16971
60|!|16606
48|!|16460
69|!|16246
65|!|16199
64|!|15894
67|!|15862
62|!|15630
41|!|15467
61|!|15205
46|!|14962
49|!|14249
59|!|14185
63|!|13993
47|!|13504
56|!|12724
58|!|12677
53|!|12331
52|!|11948
50|!|11806
55|!|11383
54|!|11139
51|!|11014
57|!|10524
4|!|10291
1|!|6477
71|!|6171
143|!|5531
72|!|4879
73|!|4863
75|!|4748
80|!|4050
83|!|4022
76|!|3977
140|!|3925
74|!|3861
78|!|3349
3|!|3340
77|!|3278
79|!|3245
97|!|3239
2|!|3162
142|!|3138
81|!|3111
144|!|2876
139|!|2851
82|!|2849
107|!|2796
84|!|2764
86|!|2652
85|!|2578
124|!|2556
102|!|2546
88|!|2525
89|!|2447
90|!|2432
87|!|2429
133|!|2427
96|!|2422
120|!|2399
91|!|2398
93|!|2378
104|!|2349
138|!|2342
92|!|2342
95|!|2327
119|!|2314
135|!|2308
132|!|2270
99|!|2260
136|!|2251
131|!|2225
137|!|2196
134|!|2187
129|!|2145
105|!|2044
103|!|2023
123|!|2021
101|!|2019
94|!|2009
125|!|2007
110|!|1989
98|!|1984
111|!|1977
117|!|1962
141|!|1938
121|!|1932
127|!|1916
109|!|1899
100|!|1899
106|!|1867
126|!|1855
128|!|1829
112|!|1810
108|!|1808
114|!|1794
116|!|1762
122|!|1740
118|!|1727
115|!|1703
130|!|1702
113|!|1700
0|!|1433
145|!|7
